study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ia_n_,PIANO,[-0.06481481481481481],[-0.28935185185185186],[1],[0],[0],[5.335436000023037],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,c_s_h_o_n,CUSHION,[-0.06828703703703703],[-0.30092592592592593],[1],[0],[0],[5.63841149979271],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,_ea_or,,[-0.06828703703703703],[-0.30092592592592593],[1],[0],[0],[7.630568000022322],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,c_m_r_,CAMERA,[-0.06828703703703703],[-0.30092592592592593],[1],[0],[0],[6.552120100008324],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,t_g_r,TIGER,[-0.09259259259259259],[-0.2951388888888889],[1],[0],[0],[4.051860200008377],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,o_a_n_e,ORANGE,[-0.09259259259259259],[-0.2951388888888889],[1],[0],[0],[6.835714899934828],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,_oo_,BOOK,[-0.061342592592592594],[-0.31712962962962965],[1],[0],[0],[5.017499499954283],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,_p_a_d_,,[-0.061342592592592594],[-0.31712962962962965],[1],[0],[0],[8.464297800092027],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,_o_s_,BOO,[],[],[],[],[],[],[],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,_a_e,VASE,[-0.09490740740740741],[-0.3055555555555556],[1],[0],[0],[6.590692299883813],['text_3'],KRUTI,1,2023-10-05_16h06.46.816,tutorial5_wordprime,2023.1.3,59.80378378,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prop hit from study list ,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prop hit for non primed words,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
