study_words,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,o_a_n_e,ORANGE,[-0.027777777777777776],[-0.28935185185185186],[1],[0],[0],[7.082294600084424],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_a_e,BAKE,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[6.215874799992889],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,c_m_r_,CAMERA,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[4.601005299948156],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_ea_or,,[],[],[],[],[],[],[],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,c_s_h_o_n,CUSHION,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[4.703704199986532],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_ia_n_,PIANO,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[4.086303599877283],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_p_a_d_,,[],[],[],[],[],[],[],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_o_s_,,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[0.40536629990674555],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,_oo_,COOL,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[3.570024099899456],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,t_g_r,TIGER,[-0.020833333333333332],[-0.2824074074074074],[1],[0],[0],[5.068905399879441],['text_3'],MUSKI,1,2023-10-05_16h12.34.425,tutorial5_wordprime,2023.1.3,60.01374315
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,No. of hit from study list,,,0.3,,,,,,,,
,,,,Prop hit for non primed words,,,0.4,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Prime score,,-0.1,,,,,,,,,
