study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_o_s_,,[],[],[],[],[],[],[],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,_p_a_d_,opead,[],[],[],[],[],[],[],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,o_a_n_e,orange,[-0.0011574074074074073],[-0.29976851851851855],[1],[0],[0],[5.776231700088829],['text_3'],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,t_g_r,tiger,[0.03356481481481482],[-0.30092592592592593],[1],[0],[0],[4.193087700055912],['text_3'],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,_ia_n_,piano,[-0.011574074074074073],[-0.3101851851851852],[1],[0],[0],[5.130792200099677],['text_3'],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,_a_e,bare,[],[],[],[],[],[],[],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,c_s_h_o_n,,[0.02546296296296296],[-0.3136574074074074],[1],[0],[0],[0.2723306000698358],['text_3'],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,_oo_,book,[0.015046296296296295],[-0.29050925925925924],[1],[0],[0],[4.103196900105104],['text_3'],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,_ea_or,,[],[],[],[],[],[],[],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,c_m_r_,comer,[],[],[],[],[],[],[],harsh,1,2023-10-05_22h41.50.189,tutorial5_wordprime,2023.1.3,60.07366228,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hit from study list ,,,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hit for non primed words,,,0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,priming,,,0.1,,,,,,,,,,,,,,,,,,,,,,
